date,borough,total_trips
2025-01-01 00:00:00,Bronx,125
2025-01-01 00:00:00,Brooklyn,581
2025-01-01 00:00:00,EWR,6
2025-01-01 00:00:00,Manhattan,61913
2025-01-01 00:00:00,Queens,8321
2025-01-01 00:00:00,Staten Island,2
2025-01-01 00:00:00,Unknown,200
2025-01-02 00:00:00,Bronx,233
2025-01-02 00:00:00,Brooklyn,861
2025-01-02 00:00:00,EWR,8
2025-01-02 00:00:00,Manhattan,67923
2025-01-02 00:00:00,Queens,9236
2025-01-02 00:00:00,Staten Island,2
2025-01-02 00:00:00,Unknown,223
2025-01-03 00:00:00,Bronx,235
2025-01-03 00:00:00,Brooklyn,996
2025-01-03 00:00:00,EWR,6
2025-01-03 00:00:00,Manhattan,74885
2025-01-03 00:00:00,Queens,8359
2025-01-03 00:00:00,Staten Island,3
2025-01-03 00:00:00,Unknown,282
2025-01-04 00:00:00,Bronx,163
2025-01-04 00:00:00,Brooklyn,677
2025-01-04 00:00:00,EWR,2
2025-01-04 00:00:00,Manhattan,80994
2025-01-04 00:00:00,Queens,8126
2025-01-04 00:00:00,Staten Island,2
2025-01-04 00:00:00,Unknown,265
2025-01-05 00:00:00,Bronx,141
2025-01-05 00:00:00,Brooklyn,698
2025-01-05 00:00:00,EWR,11
2025-01-05 00:00:00,Manhattan,62248
2025-01-05 00:00:00,Queens,9751
2025-01-05 00:00:00,Staten Island,4
2025-01-05 00:00:00,Unknown,251
2025-01-06 00:00:00,Bronx,173
2025-01-06 00:00:00,Brooklyn,747
2025-01-06 00:00:00,EWR,3
2025-01-06 00:00:00,Manhattan,63845
2025-01-06 00:00:00,Queens,8926
2025-01-06 00:00:00,Staten Island,3
2025-01-06 00:00:00,Unknown,213
2025-01-07 00:00:00,Bronx,200
2025-01-07 00:00:00,Brooklyn,766
2025-01-07 00:00:00,EWR,1
2025-01-07 00:00:00,Manhattan,80381
2025-01-07 00:00:00,Queens,8276
2025-01-07 00:00:00,Staten Island,1
2025-01-07 00:00:00,Unknown,244
2025-01-08 00:00:00,Bronx,176
2025-01-08 00:00:00,Brooklyn,924
2025-01-08 00:00:00,Manhattan,88387
2025-01-08 00:00:00,Queens,7487
2025-01-08 00:00:00,Staten Island,2
2025-01-08 00:00:00,Unknown,294
2025-01-09 00:00:00,Bronx,184
2025-01-09 00:00:00,Brooklyn,806
2025-01-09 00:00:00,EWR,4
2025-01-09 00:00:00,Manhattan,92007
2025-01-09 00:00:00,Queens,7944
2025-01-09 00:00:00,Staten Island,5
2025-01-09 00:00:00,Unknown,322
2025-01-10 00:00:00,Bronx,198
2025-01-10 00:00:00,Brooklyn,853
2025-01-10 00:00:00,EWR,3
2025-01-10 00:00:00,Manhattan,85685
2025-01-10 00:00:00,Queens,8333
2025-01-10 00:00:00,Staten Island,3
2025-01-10 00:00:00,Unknown,265
2025-01-11 00:00:00,Bronx,158
2025-01-11 00:00:00,Brooklyn,618
2025-01-11 00:00:00,EWR,2
2025-01-11 00:00:00,Manhattan,92541
2025-01-11 00:00:00,Queens,7034
2025-01-11 00:00:00,Staten Island,3
2025-01-11 00:00:00,Unknown,257
2025-01-12 00:00:00,Bronx,147
2025-01-12 00:00:00,Brooklyn,730
2025-01-12 00:00:00,EWR,1
2025-01-12 00:00:00,Manhattan,71976
2025-01-12 00:00:00,Queens,9117
2025-01-12 00:00:00,Staten Island,2
2025-01-12 00:00:00,Unknown,267
2025-01-13 00:00:00,Bronx,227
2025-01-13 00:00:00,Brooklyn,887
2025-01-13 00:00:00,EWR,2
2025-01-13 00:00:00,Manhattan,76258
2025-01-13 00:00:00,Queens,8432
2025-01-13 00:00:00,Staten Island,2
2025-01-13 00:00:00,Unknown,245
2025-01-14 00:00:00,Bronx,235
2025-01-14 00:00:00,Brooklyn,946
2025-01-14 00:00:00,EWR,6
2025-01-14 00:00:00,Manhattan,92688
2025-01-14 00:00:00,Queens,7275
2025-01-14 00:00:00,Staten Island,3
2025-01-14 00:00:00,Unknown,294
2025-01-15 00:00:00,Bronx,274
2025-01-15 00:00:00,Brooklyn,967
2025-01-15 00:00:00,EWR,4
2025-01-15 00:00:00,Manhattan,95115
2025-01-15 00:00:00,Queens,7420
2025-01-15 00:00:00,Staten Island,1
2025-01-15 00:00:00,Unknown,333
2025-01-16 00:00:00,Bronx,261
2025-01-16 00:00:00,Brooklyn,905
2025-01-16 00:00:00,EWR,3
2025-01-16 00:00:00,Manhattan,101603
2025-01-16 00:00:00,Queens,8213
2025-01-16 00:00:00,Staten Island,4
2025-01-16 00:00:00,Unknown,272
2025-01-17 00:00:00,Bronx,213
2025-01-17 00:00:00,Brooklyn,920
2025-01-17 00:00:00,EWR,2
2025-01-17 00:00:00,Manhattan,87212
2025-01-17 00:00:00,Queens,8314
2025-01-17 00:00:00,Staten Island,2
2025-01-17 00:00:00,Unknown,307
2025-01-18 00:00:00,Bronx,190
2025-01-18 00:00:00,Brooklyn,733
2025-01-18 00:00:00,EWR,4
2025-01-18 00:00:00,Manhattan,86435
2025-01-18 00:00:00,Queens,5997
2025-01-18 00:00:00,Staten Island,2
2025-01-18 00:00:00,Unknown,246
2025-01-19 00:00:00,Bronx,146
2025-01-19 00:00:00,Brooklyn,623
2025-01-19 00:00:00,EWR,4
2025-01-19 00:00:00,Manhattan,71516
2025-01-19 00:00:00,Queens,6128
2025-01-19 00:00:00,Staten Island,1
2025-01-19 00:00:00,Unknown,223
2025-01-20 00:00:00,Bronx,81
2025-01-20 00:00:00,Brooklyn,357
2025-01-20 00:00:00,EWR,4
2025-01-20 00:00:00,Manhattan,54679
2025-01-20 00:00:00,Queens,11190
2025-01-20 00:00:00,Staten Island,3
2025-01-20 00:00:00,Unknown,203
2025-01-21 00:00:00,Bronx,233
2025-01-21 00:00:00,Brooklyn,850
2025-01-21 00:00:00,EWR,1
2025-01-21 00:00:00,Manhattan,82770
2025-01-21 00:00:00,Queens,8975
2025-01-21 00:00:00,Staten Island,1
2025-01-21 00:00:00,Unknown,214
2025-01-22 00:00:00,Bronx,219
2025-01-22 00:00:00,Brooklyn,883
2025-01-22 00:00:00,EWR,1
2025-01-22 00:00:00,Manhattan,91472
