date,total_trips
2025-01-01 00:00:00,71148
2025-01-02 00:00:00,78486
2025-01-03 00:00:00,84766
2025-01-04 00:00:00,90229
2025-01-05 00:00:00,73104
2025-01-06 00:00:00,73910
2025-01-07 00:00:00,89869
2025-01-08 00:00:00,97270
2025-01-09 00:00:00,101272
2025-01-10 00:00:00,95340
2025-01-11 00:00:00,100613
2025-01-12 00:00:00,82240
2025-01-13 00:00:00,86053
2025-01-14 00:00:00,101447
2025-01-15 00:00:00,104114
2025-01-16 00:00:00,111261
2025-01-17 00:00:00,96970
2025-01-18 00:00:00,93607
2025-01-19 00:00:00,78641
2025-01-20 00:00:00,66517
2025-01-21 00:00:00,93044
2025-01-22 00:00:00,100076
2025-01-23 00:00:00,107543
2025-01-24 00:00:00,102873
2025-01-25 00:00:00,106831
2025-01-26 00:00:00,80372
2025-01-27 00:00:00,80698
2025-01-28 00:00:00,95372
2025-01-29 00:00:00,100729
2025-01-30 00:00:00,107589
2025-01-31 00:00:00,100258
2025-02-01 00:00:00,107276
2025-02-02 00:00:00,87759
2025-02-03 00:00:00,81592
2025-02-04 00:00:00,98680
2025-02-05 00:00:00,104594
2025-02-06 00:00:00,100991
2025-02-07 00:00:00,106176
2025-02-08 00:00:00,104235
2025-02-09 00:00:00,77545
2025-02-10 00:00:00,86872
2025-02-11 00:00:00,98886
2025-02-12 00:00:00,99479
2025-02-13 00:00:00,106144
2025-02-14 00:00:00,106513
2025-02-15 00:00:00,95942
2025-02-16 00:00:00,73517
2025-02-17 00:00:00,73143
2025-02-18 00:00:00,94566
2025-02-19 00:00:00,99149
2025-02-20 00:00:00,108389
2025-02-21 00:00:00,101780
2025-02-22 00:00:00,98665
2025-02-23 00:00:00,79867
2025-02-24 00:00:00,80576
2025-02-25 00:00:00,94871
2025-02-26 00:00:00,103441
2025-02-27 00:00:00,112261
2025-02-28 00:00:00,108142
2025-03-01 00:00:00,112982
2025-03-02 00:00:00,89553
2025-03-03 00:00:00,90282
2025-03-04 00:00:00,100205
2025-03-05 00:00:00,107348
2025-03-06 00:00:00,112779
2025-03-07 00:00:00,104733
2025-03-08 00:00:00,105251
2025-03-09 00:00:00,83148
2025-03-10 00:00:00,85640
2025-03-11 00:00:00,101353
2025-03-12 00:00:00,111502
2025-03-13 00:00:00,119088
2025-03-14 00:00:00,110142
2025-03-15 00:00:00,107892
2025-03-16 00:00:00,83330
2025-03-17 00:00:00,86886
2025-03-18 00:00:00,98367
2025-03-19 00:00:00,102320
2025-03-20 00:00:00,112761
2025-03-21 00:00:00,102706
2025-03-22 00:00:00,104026
2025-03-23 00:00:00,87426
2025-03-24 00:00:00,87425
2025-03-25 00:00:00,97034
2025-03-26 00:00:00,106496
2025-03-27 00:00:00,110958
2025-03-28 00:00:00,104919
2025-03-29 00:00:00,112937
2025-03-30 00:00:00,85293
2025-03-31 00:00:00,88754
2025-04-01 00:00:00,103837
2025-04-02 00:00:00,110850
2025-04-03 00:00:00,111729
2025-04-04 00:00:00,107879
2025-04-05 00:00:00,112712
2025-04-06 00:00:00,87411
2025-04-07 00:00:00,95220
2025-04-08 00:00:00,106742
2025-04-09 00:00:00,110627
2025-04-10 00:00:00,116921
2025-04-11 00:00:00,112109
2025-04-12 00:00:00,103480
2025-04-13 00:00:00,80585
2025-04-14 00:00:00,82691
2025-04-15 00:00:00,100447
2025-04-16 00:00:00,111134
2025-04-17 00:00:00,109162
2025-04-18 00:00:00,98069
2025-04-19 00:00:00,98398
2025-04-20 00:00:00,81039
