date,total_trips
2025-01-01,71148
2025-01-02,78486
2025-01-03,84766
2025-01-04,90229
2025-01-05,73104
2025-01-06,73910
2025-01-07,89869
2025-01-08,97270
2025-01-09,101272
2025-01-10,95340
2025-01-11,100613
2025-01-12,82240
2025-01-13,86053
2025-01-14,101447
2025-01-15,104114
2025-01-16,111261
2025-01-17,96970
2025-01-18,93607
2025-01-19,78641
2025-01-20,66517
2025-01-21,93044
2025-01-22,100076
2025-01-23,107543
2025-01-24,102873
2025-01-25,106831
2025-01-26,80372
2025-01-27,80698
2025-01-28,95372
2025-01-29,100729
2025-01-30,107589
2025-01-31,100258
2025-02-01,107276
2025-02-02,87759
2025-02-03,81592
2025-02-04,98680
2025-02-05,104594
2025-02-06,100991
2025-02-07,106176
2025-02-08,104235
2025-02-09,77545
2025-02-10,86872
2025-02-11,98886
2025-02-12,99479
2025-02-13,106144
2025-02-14,106513
2025-02-15,95942
2025-02-16,73517
2025-02-17,73143
2025-02-18,94566
2025-02-19,99149
2025-02-20,108389
2025-02-21,101780
2025-02-22,98665
2025-02-23,79867
2025-02-24,80576
2025-02-25,94871
2025-02-26,103441
2025-02-27,112261
2025-02-28,108142
2025-03-01,112982
2025-03-02,89553
2025-03-03,90282
2025-03-04,100205
2025-03-05,107348
2025-03-06,112779
2025-03-07,104733
2025-03-08,105251
2025-03-09,83148
2025-03-10,85640
2025-03-11,101353
2025-03-12,111502
2025-03-13,119088
2025-03-14,110142
2025-03-15,107892
2025-03-16,83330
2025-03-17,86886
2025-03-18,98367
2025-03-19,102320
2025-03-20,112761
2025-03-21,102706
2025-03-22,104026
2025-03-23,87426
2025-03-24,87425
2025-03-25,97034
2025-03-26,106496
2025-03-27,110958
2025-03-28,104919
2025-03-29,112937
2025-03-30,85293
2025-03-31,88754
2025-04-01,103837
2025-04-02,110850
2025-04-03,111729
2025-04-04,107879
2025-04-05,112712
2025-04-06,87411
2025-04-07,95220
2025-04-08,106742
2025-04-09,110627
2025-04-10,116921
2025-04-11,112109
2025-04-12,103480
2025-04-13,80585
2025-04-14,82691
2025-04-15,100447
2025-04-16,111134
2025-04-17,109162
2025-04-18,98069
2025-04-19,98398
2025-04-20,81039
2025-04-21,89026
2025-04-22,102879
2025-04-23,111003
2025-04-24,118112
2025-04-25,113480
2025-04-26,115835
2025-04-27,95010
2025-04-28,89910
2025-04-29,103372
2025-04-30,111888
2025-05-01,120058
2025-05-02,111343
2025-05-03,111675
2025-05-04,90660
2025-05-05,97345
2025-05-06,107120
2025-05-07,113866
2025-05-08,122556
2025-05-09,113249
2025-05-10,109883
2025-05-11,95479
2025-05-12,96642
2025-05-13,113090
2025-05-14,111491
2025-05-15,121160
2025-05-16,112736
2025-05-17,111756
2025-05-18,89822
2025-05-19,98325
2025-05-20,109264
2025-05-21,117857
2025-05-22,112624
2025-05-23,95805
2025-05-24,80954
2025-05-25,71330
2025-05-26,64403
2025-05-27,95605
2025-05-28,110797
2025-05-29,110842
2025-05-30,104933
2025-05-31,101608
2025-06-01,85637
2025-06-02,88517
2025-06-03,105262
2025-06-04,114756
2025-06-05,118877
2025-06-06,100940
2025-06-07,98240
2025-06-08,83862
2025-06-09,95303
2025-06-10,104561
2025-06-11,111155
2025-06-12,117306
2025-06-13,101722
2025-06-14,91044
2025-06-15,78804
2025-06-16,89156
2025-06-17,99877
2025-06-18,109896
2025-06-19,99636
2025-06-20,97061
2025-06-21,93386
2025-06-22,80305
2025-06-23,94948
2025-06-24,106762
2025-06-25,110435
2025-06-26,108150
2025-06-27,97668
2025-06-28,93135
2025-06-29,80059
2025-06-30,83244
2025-07-01,94460
2025-07-02,82969
2025-07-03,72972
2025-07-04,50100
2025-07-05,59117
2025-07-06,64369
2025-07-07,77945
2025-07-08,97430
2025-07-09,101265
2025-07-10,95412
2025-07-11,87961
2025-07-12,86296
2025-07-13,75075
2025-07-14,91228
2025-07-15,99804
2025-07-16,106410
2025-07-17,104963
2025-07-18,88566
2025-07-19,85088
2025-07-20,77647
2025-07-21,82151
2025-07-22,91479
2025-07-23,96481
2025-07-24,97522
2025-07-25,91632
2025-07-26,85531
2025-07-27,74038
2025-07-28,87675
2025-07-29,99192
2025-07-30,101413
2025-07-31,94894
2025-08-01,83320
2025-08-02,79815
2025-08-03,71122
2025-08-04,77135
2025-08-05,88535
2025-08-06,94495
2025-08-07,89406
2025-08-08,81825
2025-08-09,74673
2025-08-10,67413
2025-08-11,75565
2025-08-12,88146
2025-08-13,98306
2025-08-14,92045
2025-08-15,82811
2025-08-16,79526
2025-08-17,73069
2025-08-18,72058
2025-08-19,81841
2025-08-20,96637
2025-08-21,87131
2025-08-22,82218
2025-08-23,83390
2025-08-24,73701
2025-08-25,73643
2025-08-26,83084
2025-08-27,86050
2025-08-28,86233
2025-08-29,81020
2025-08-30,79204
2025-08-31,70739
2025-09-01,64644
2025-09-02,89946
2025-09-03,101225
2025-09-04,109995
2025-09-05,104715
2025-09-06,97477
2025-09-07,82993
2025-09-08,92624
2025-09-09,104501
2025-09-10,110993
2025-09-11,112164
2025-09-12,108177
2025-09-13,106110
2025-09-14,90960
2025-09-15,95645
2025-09-16,108388
2025-09-17,113786
2025-09-18,117997
2025-09-19,109668
2025-09-20,106444
2025-09-21,91042
2025-09-22,89618
2025-09-23,88441
2025-09-24,101937
2025-09-25,110936
2025-09-26,109452
2025-09-27,108670
2025-09-28,89384
2025-09-29,93613
2025-09-30,106313
2025-10-01,104150
2025-10-02,101196
2025-10-03,104955
2025-10-04,102973
2025-10-05,86878
2025-10-06,92735
2025-10-07,104643
2025-10-08,112895
2025-10-09,120899
2025-10-10,112509
2025-10-11,108167
2025-10-12,87884
2025-10-13,82306
2025-10-14,107450
2025-10-15,114156
2025-10-16,121488
2025-10-17,112757
2025-10-18,106663
2025-10-19,93458
2025-10-20,98562
2025-10-21,105353
2025-10-22,113761
2025-10-23,121557
2025-10-24,112832
2025-10-25,108482
2025-10-26,92959
2025-10-27,96026
2025-10-28,107847
2025-10-29,112996
2025-10-30,106514
2025-10-31,114963
2025-11-01,112895
2025-11-02,95051
2025-11-03,97522
2025-11-04,101774
2025-11-05,111298
2025-11-06,120665
2025-11-07,112366
2025-11-08,110960
2025-11-09,92332
2025-11-10,101837
2025-11-11,99905
2025-11-12,109490
2025-11-13,117539
2025-11-14,113740
2025-11-15,112258
2025-11-16,93822
2025-11-17,99424
2025-11-18,110201
2025-11-19,113680
2025-11-20,118913
2025-11-21,111270
2025-11-22,105808
2025-11-23,85575
2025-11-24,91411
2025-11-25,103840
2025-11-26,90087
2025-11-27,58531
2025-11-28,73793
2025-11-29,84151
2025-11-30,78044
2025-12-01,96320
2025-12-02,109540
2025-12-03,114913
2025-12-04,126350
2025-12-05,119095
2025-12-06,113174
2025-12-07,94260
2025-12-08,107012
2025-12-09,115443
2025-12-10,117515
2025-12-11,125816
2025-12-12,122651
2025-12-13,113299
2025-12-14,86590
2025-12-15,101531
2025-12-16,109731
2025-12-17,111695
2025-12-18,114733
2025-12-19,110323
2025-12-20,102029
2025-12-21,80269
2025-12-22,82206
2025-12-23,79674
2025-12-24,66650
2025-12-25,41967
2025-12-26,60527
2025-12-27,59477
2025-12-28,64835
2025-12-29,74030
2025-12-30,80005
2025-12-31,71703
