date,total_revenue
2025-01-01,2097585.489999885
2025-01-02,2326728.5499999328
2025-01-03,2381882.519999956
2025-01-04,2413046.479999908
2025-01-05,2150896.5599999423
2025-01-06,2132143.189999943
2025-01-07,2436279.239999957
2025-01-08,2584794.58999994
2025-01-09,2756691.919999968
2025-01-10,2628776.149999982
2025-01-11,2566038.379999969
2025-01-12,2305477.289999935
2025-01-13,2403631.619999961
2025-01-14,2744988.389999964
2025-01-15,2824269.509999963
2025-01-16,3067180.670000005
2025-01-17,2702952.7299999646
2025-01-18,2367390.279999958
2025-01-19,1994575.8799999864
2025-01-20,2882658.149999897
2025-01-21,2558311.479999935
2025-01-22,2665800.1999999937
2025-01-23,2912062.840000016
2025-01-24,2778626.6099999533
2025-01-25,2654008.539999969
2025-01-26,2231252.299999979
2025-01-27,2264246.4599999427
2025-01-28,2557235.1599999443
2025-01-29,2721227.579999944
2025-01-30,2958629.9299999755
2025-01-31,2723043.379999997
2025-02-01,2650959.339999964
2025-02-02,2360723.8599999547
2025-02-03,2297559.129999988
2025-02-04,2643264.359999971
2025-02-05,2861741.909999982
2025-02-06,2739662.970000015
2025-02-07,2861046.469999959
2025-02-08,2555470.869999953
2025-02-09,2136764.909999978
2025-02-10,2478203.449999961
2025-02-11,2638539.6899999934
2025-02-12,2651382.59999996
2025-02-13,2928582.5899999384
2025-02-14,2963310.6399999512
2025-02-15,2385541.179999948
2025-02-16,1974846.7899999227
2025-02-17,2127957.489999977
2025-02-18,2678699.9999999786
2025-02-19,2690042.719999985
2025-02-20,2931336.6499999706
2025-02-21,2910937.529999979
2025-02-22,2546526.669999955
2025-02-23,2307681.1999999583
2025-02-24,2345507.539999943
2025-02-25,2633183.779999979
2025-02-26,2921096.2299999767
2025-02-27,3187166.219999973
2025-02-28,3036035.839999952
2025-03-01,2881436.469999931
2025-03-02,2508926.089999961
2025-03-03,2602855.7999999486
2025-03-04,2774918.019999988
2025-03-05,2942403.909999948
2025-03-06,3163669.5999999386
2025-03-07,2908411.1899999566
2025-03-08,2677863.4399999827
2025-03-09,2417517.2499999283
2025-03-10,2542746.289999978
2025-03-11,2886632.3499999647
2025-03-12,3152339.95000002
2025-03-13,3392492.2599999667
2025-03-14,3111974.379999955
2025-03-15,2840238.689999985
2025-03-16,2465118.0799999246
2025-03-17,2755194.909999961
2025-03-18,2839809.910000029
2025-03-19,2939284.2399999658
2025-03-20,3262139.409999949
2025-03-21,3004712.7399999537
2025-03-22,2800431.099999952
2025-03-23,2620653.3899998884
2025-03-24,2637374.539999936
2025-03-25,2805882.7799999416
2025-03-26,3062466.71999996
2025-03-27,3278057.139999947
2025-03-28,3025242.1699999445
2025-03-29,3009928.84999999
2025-03-30,2565738.049999936
2025-03-31,2661311.809999954
