date,actual_trips,forecast_trips,lower_ci,upper_ci,split,model_name
2025-12-02,109540,103840,,,backtest,naive_weekly
2025-12-03,114913,90087,,,backtest,naive_weekly
2025-12-04,126350,58531,,,backtest,naive_weekly
2025-12-05,119095,73793,,,backtest,naive_weekly
2025-12-06,113174,84151,,,backtest,naive_weekly
2025-12-07,94260,78044,,,backtest,naive_weekly
2025-12-08,107012,96320,,,backtest,naive_weekly
2025-12-09,115443,109540,,,backtest,naive_weekly
2025-12-10,117515,114913,,,backtest,naive_weekly
2025-12-11,125816,126350,,,backtest,naive_weekly
2025-12-12,122651,119095,,,backtest,naive_weekly
2025-12-13,113299,113174,,,backtest,naive_weekly
2025-12-14,86590,94260,,,backtest,naive_weekly
2025-12-15,101531,107012,,,backtest,naive_weekly
2025-12-16,109731,115443,,,backtest,naive_weekly
2025-12-17,111695,117515,,,backtest,naive_weekly
2025-12-18,114733,125816,,,backtest,naive_weekly
2025-12-19,110323,122651,,,backtest,naive_weekly
2025-12-20,102029,113299,,,backtest,naive_weekly
2025-12-21,80269,86590,,,backtest,naive_weekly
2025-12-22,82206,101531,,,backtest,naive_weekly
2025-12-23,79674,109731,,,backtest,naive_weekly
2025-12-24,66650,111695,,,backtest,naive_weekly
2025-12-25,41967,114733,,,backtest,naive_weekly
2025-12-26,60527,110323,,,backtest,naive_weekly
2025-12-27,59477,102029,,,backtest,naive_weekly
2025-12-28,64835,80269,,,backtest,naive_weekly
2025-12-29,74030,82206,,,backtest,naive_weekly
2025-12-30,80005,79674,,,backtest,naive_weekly
2025-12-31,71703,66650,,,backtest,naive_weekly
2026-01-01,,41967,,,future,naive_weekly
2026-01-02,,60527,,,future,naive_weekly
2026-01-03,,59477,,,future,naive_weekly
2026-01-04,,64835,,,future,naive_weekly
2026-01-05,,74030,,,future,naive_weekly
2026-01-06,,80005,,,future,naive_weekly
2026-01-07,,71703,,,future,naive_weekly
2026-01-08,,41967,,,future,naive_weekly
2026-01-09,,60527,,,future,naive_weekly
2026-01-10,,59477,,,future,naive_weekly
2026-01-11,,64835,,,future,naive_weekly
2026-01-12,,74030,,,future,naive_weekly
2026-01-13,,80005,,,future,naive_weekly
2026-01-14,,71703,,,future,naive_weekly
2026-01-15,,41967,,,future,naive_weekly
2026-01-16,,60527,,,future,naive_weekly
2026-01-17,,59477,,,future,naive_weekly
2026-01-18,,64835,,,future,naive_weekly
2026-01-19,,74030,,,future,naive_weekly
2026-01-20,,80005,,,future,naive_weekly
2026-01-21,,71703,,,future,naive_weekly
2026-01-22,,41967,,,future,naive_weekly
2026-01-23,,60527,,,future,naive_weekly
2026-01-24,,59477,,,future,naive_weekly
2026-01-25,,64835,,,future,naive_weekly
2026-01-26,,74030,,,future,naive_weekly
2026-01-27,,80005,,,future,naive_weekly
2026-01-28,,71703,,,future,naive_weekly
2026-01-29,,41967,,,future,naive_weekly
2026-01-30,,60527,,,future,naive_weekly
2025-12-02,109540,99687,79100,120274,backtest,trend_plus_weekday
2025-12-03,114913,105669,85082,126256,backtest,trend_plus_weekday
2025-12-04,126350,107541,86954,128129,backtest,trend_plus_weekday
2025-12-05,119095,100750,80163,121337,backtest,trend_plus_weekday
2025-12-06,113174,98853,78266,119440,backtest,trend_plus_weekday
2025-12-07,94260,82766,62179,103353,backtest,trend_plus_weekday
2025-12-08,107012,86865,66278,107452,backtest,trend_plus_weekday
2025-12-09,115443,99680,79093,120267,backtest,trend_plus_weekday
2025-12-10,117515,105661,85074,126249,backtest,trend_plus_weekday
2025-12-11,125816,107534,86946,128121,backtest,trend_plus_weekday
2025-12-12,122651,100743,80156,121330,backtest,trend_plus_weekday
2025-12-13,113299,98845,78258,119433,backtest,trend_plus_weekday
2025-12-14,86590,82760,62173,103347,backtest,trend_plus_weekday
2025-12-15,101531,86858,66271,107446,backtest,trend_plus_weekday
2025-12-16,109731,99673,79085,120260,backtest,trend_plus_weekday
2025-12-17,111695,105654,85066,126241,backtest,trend_plus_weekday
